"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2013,49,50395,26,26.4,NA,2,3,0,0,170,111,65.3,10,26.3,3,NA,185,NA,NA,4.87,NA,0.21,NA,2,"Newcastle Utd 2013",NA,NA,"Newcastle Utd"
2017,44,51992,27,25.6,41.7,0,1,NA,NA,145,104,70.3,9,23.7,6,451,152,33.7,11.87,4,0.08,0.25,18.4,0,"Newcastle Utd 2017",2,0,"Newcastle Utd"
2018,45,51121,24,26.9,40.4,1,3,57,2,134,93,68.7,11,28.9,6,440,137,31.1,11.58,3.61,0.09,0.29,18.1,1,"Newcastle Utd 2018",0,0,"Newcastle Utd"
2019,44,35551,28,26.5,38.6,0,1,66,3,190,134,70.5,11,28.9,2,397,127,32,10.45,3.34,0.1,0.3,18.5,0,"Newcastle Utd 2019",0,0,"Newcastle Utd"
2020,45,526,27,27.1,38.2,6,7,65,3,179,123,67.6,7,18.4,5,387,130,33.6,10.18,3.42,0.1,0.29,17.5,6,"Newcastle Utd 2020",1,0,"Newcastle Utd"
2021,49,51487,29,27.5,39.9,3,3,81,2,162,105,64.8,8,21.1,6,443,140,31.6,11.66,3.68,0.09,0.27,17.2,3,"Newcastle Utd 2021",1,0,"Newcastle Utd"
2013,33,26805,25,26.3,NA,1,2,0,0,189,127,67.2,12,31.6,2,NA,145,NA,NA,3.82,NA,0.19,NA,1,"Norwich City 2013",NA,NA,"Norwich City"
2019,21,19913,30,26,49.3,2,2,68,3,201,129,64.7,5,13.2,7,409,124,30.3,10.76,3.26,0.06,0.19,17.4,2,"Norwich City 2019",3,0,"Norwich City"
2021,22,26836,28,26.2,42.5,3,3,57,1,212,135,64.6,6,15.8,13,374,104,27.8,9.84,2.74,0.05,0.17,18.1,3,"Norwich City 2021",2,2,"Norwich City"
2019,54,24370,26,26.9,43.1,1,1,63,2,141,103,73,13,34.2,3,353,109,30.9,9.29,2.87,0.1,0.32,14.7,1,"Sheffield Utd 2019",1,1,"Sheffield Utd"
2020,23,263,27,26.7,41.5,3,4,73,3,205,145,70.7,5,13.2,4,319,92,28.8,8.39,2.42,0.05,0.17,16.8,3,"Sheffield Utd 2020",0,1,"Sheffield Utd"
